City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Fort Nelson,CA,58.81,-122.70,40.59,75,90,4.61,light rain
83,Atasu,KZ,48.68,71.64,47.46,56,100,6.89,overcast clouds
84,Fortuna,US,40.60,-124.16,61.93,66,99,3.0,overcast clouds
85,Palmer,US,42.16,-72.33,64.49,69,90,1.01,overcast clouds
86,Port Lincoln,AU,-34.73,135.87,49.51,64,5,10.07,clear sky
87,Butaritari,KI,3.07,172.79,81.23,69,87,11.52,overcast clouds
88,Svetlyy,RU,54.67,20.13,42.85,65,1,8.97,clear sky
89,Cururupu,BR,-1.83,-44.87,85.71,62,44,8.03,scattered clouds
90,Souris,CA,49.62,-100.26,60.75,28,86,11.61,overcast clouds
91,Elmadag,TR,39.92,33.23,58.86,43,0,3.15,clear sky
92,Lubango,AO,-14.92,13.49,68.34,47,14,2.01,few clouds
93,Maldonado,UY,-34.67,-54.92,65.59,75,100,13.62,overcast clouds
94,Hithadhoo,MV,-0.60,73.08,83.1,67,97,12.08,overcast clouds
95,Novi Pazar,RS,43.14,20.51,47.89,99,100,3.02,overcast clouds
96,Khatanga,RU,71.97,102.50,16.86,96,100,4.79,light snow
97,Alexandria,EG,31.22,29.96,76.96,69,0,12.66,clear sky
98,Airai,TL,-8.93,125.41,60.31,72,100,0.74,overcast clouds
99,Sorland,NO,67.67,12.69,48.06,79,100,4.72,overcast clouds
100,Kruisfontein,ZA,-34.00,24.73,58.89,73,9,10.6,clear sky
101,Mankato,US,44.16,-94.00,72.59,69,20,23.02,few clouds
102,Erenhot,CN,43.65,111.98,42.35,33,0,8.16,clear sky
103,Seydi,TM,39.48,62.91,49.21,40,0,5.46,clear sky
104,Tuensang,IN,26.28,94.83,68.07,99,10,2.26,clear sky
105,Sobolevo,RU,54.43,31.90,40.59,70,100,3.98,overcast clouds
106,Erzin,TR,36.96,36.20,75.0,40,0,1.83,clear sky
107,Iqaluit,CA,63.75,-68.51,40.73,70,20,5.01,few clouds
108,Zawiercie,PL,50.49,19.42,44.38,72,86,3.0,overcast clouds
109,Taoudenni,ML,22.68,-3.98,96.62,8,87,9.93,overcast clouds
110,Carnarvon,AU,-24.87,113.63,64.47,77,0,16.11,light rain
111,Nanortalik,GL,60.14,-45.24,37.18,62,9,2.01,clear sky
112,Borovoy,RU,55.43,86.08,42.08,65,40,8.95,scattered clouds
113,Pontian Kecil,MY,1.48,103.39,82.53,83,100,8.97,overcast clouds
114,Cherskiy,RU,68.75,161.30,1.06,98,90,5.59,overcast clouds
